mouse_id,sex,pgm,liver_wt,gallstone_presence,gallstone_score,gallstone_count,gallstone_weight,gallstone_sandy,gallstone_solid,ChMC_agg,ChMC_ind,chol,HDL_log,nonHDL,D1Mit3,D1Mit21,D1Mit440,D1Mit102,D1Mit111,D1Mit17,D2Mit312,D2Mit79,D2Mit296,D2Mit7,D2Mit182,D2Mit94,D2Mit340,D2Mit285,D2Mit49,D2Mit113,D3Mit203,D3Mit51,D3Mit57,D3Mit147,D4Mit18,D4Mit110,D4Mit17,D4Mit155,D4Mit308,D4Mit251,D4Mit42,D5Mit387,D5Mit201,D5Mit95,D5Mit143,D6Mit86,D6Mit46,D6Mit123,D6Mit102,D6Mit36,D6Mit62,D6Mit111,D6Mit14,D6Mit373,D7Mit267,D7Mit345,D7Mit83,D7Mit323,D7Mit259,D8Mit155,D8Mit292,D8Mit40,D8Mit88,D9Mit58,D9Mit90,D9Mit129,D9Mit307,D9Mit24,D9Mit52,D10Mit123,D10Mit16,D10Mit184,D10Mit31,D10Mit264,D10Mit96,D10Mit14,D11Mit74,D11Mit189,D11Mit4,D11Mit178,D11Mit212,D11Mit67,D11Mit214,D12Mit182,D12Mit60,D12Mit227,D12Mit7,D13Mit302,D13Mit16,D13Mit19,D13Mit13,D13Mit128,D13Mit171,D14Mit98,D14Mit5,D14Mit7,D14Mit131,D15Mit13,D15Mit115,D15Mit71,D15Mit79,D16Mit32,D16Mit101,D16Mit125,D16Mit139,D16Mit86,D17Mit19,D17Mit51,D17Mit39,D17Mit123,D18Mit64,D18Mit12,D18Mit208,D18Mit48,D19Mit68,D19Mit30,D19Mit88,D19Mit26,DXMit81,DXMit1,DXMit8,DXMit149,DXMit121
148,1,1,1.7163,0,0,0,0,0,0,0,0,180,1.929,95,D,D,H,C,H,-,C,H,H,H,H,H,H,H,H,H,H,D,D,D,H,D,H,H,H,H,H,H,H,H,D,D,H,H,H,H,H,D,D,D,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,-,C,H,H,H,H,H,D,H,C,C,C,C,C,H,D,H,H,H,H,D,D,D,D,H,H,C,C,H,C,C,C,H,D,D,D,D,C,H,H,H,H,D,D,-,D,D,D,D,C,C,C,D,D
149,1,1,1.4742,0,0,0,0,0,0,0,0,228,1.978,134,C,C,C,H,H,D,H,H,H,H,C,C,H,H,H,H,C,H,D,D,C,C,C,H,H,D,D,C,H,D,D,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,C,H,H,H,H,H,H,-,C,C,H,H,H,H,H,C,C,H,H,D,D,D,D,D,D,H,H,H,D,D,-,C,C,H,H,H,H,H,H,D,H,-,C,H,H,D,H,H,H,H,C,C,C,C,C
150,1,1,1.7024,0,0,0,0,0,0,0,0,187,1.924,103,H,D,D,D,D,D,H,H,H,H,D,H,H,H,H,H,H,H,H,H,C,C,H,H,D,D,D,C,H,D,D,H,H,H,H,D,H,H,H,H,D,H,H,H,H,H,H,C,C,D,H,H,H,D,D,H,H,H,H,C,C,C,D,D,D,D,D,H,H,H,H,C,H,C,C,C,C,C,C,C,C,H,H,D,H,H,H,D,D,H,H,H,C,C,C,C,H,H,H,H,C,C,C,C,D,D,D,D,D
151,1,1,0.986,0,0,0,0,0,0,0,0,176,1.833,108,H,H,H,H,D,D,C,C,-,C,C,C,C,C,C,H,H,H,H,D,H,D,D,H,H,H,H,C,H,D,D,H,H,H,H,H,H,H,H,H,C,C,C,C,-,D,D,H,H,C,C,C,C,H,H,D,D,D,D,H,H,H,C,-,H,H,H,H,C,D,C,C,C,C,H,H,H,H,H,D,D,H,H,D,D,H,H,D,D,D,C,-,C,C,C,C,C,C,C,C,C,H,H,H,D,C,C,C,C
152,1,1,1.6682,0,0,0,0,0,0,0,0,260,1.732,206,H,H,H,D,D,D,C,H,H,H,H,H,H,H,C,C,H,H,H,H,D,D,D,H,H,C,C,H,C,C,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,D,H,D,D,C,C,C,C,H,H,D,D,D,D,D,D,D,H,D,D,D,D,H,H,H,H,D,D,H,H,H,H,C,C,H,H,H,H,C,C,C,C,C,C,C,C,D,D,D,H,H,H,D,D,D,D,H,H,H,C,C,C,C,C
153,1,1,1.5233,1,2,1,0.17,2,2,1,0,209,1.857,137,D,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,D,H,H,H,H,H,H,D,D,D,D,H,H,C,C,D,D,D,D,D,D,D,-,D,H,H,H,H,H,C,C,C,H,H,H,H,C,H,H,H,H,H,H,C,C,C,H,H,C,C,C,C,D,C,C,C,C,H,H,H,H,H,D,H,D,D,D,H,H,D,H,H,H,D,D,D,-,C,C,C,C,-,C,C,H,H,D,D,D,D,D,-,D
154,1,1,1.0612,1,2,0,0,2,0,4,0,193,1.833,125,H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,D,D,D,H,H,D,H,H,H,H,H,D,C,C,H,H,D,D,D,D,D,D,H,H,H,H,H,H,-,H,H,H,D,H,H,H,H,C,H,H,D,D,D,D,H,H,H,H,H,H,C,C,C,H,C,C,H,H,H,H,D,D,D,-,-,H,D,D,H,H,D,D,H,H,H,C,C,-,C,C,D,C,C,D,D,H,H,H,H,C,-,C,C,C
155,1,1,1.4813,1,2,0,0,1,0,3,1,234,1.954,144,H,H,H,C,C,C,D,D,D,D,H,H,H,H,H,H,C,C,C,H,H,H,H,D,D,C,C,H,H,H,D,C,H,H,H,H,H,D,D,D,H,D,D,D,H,H,H,H,H,H,H,D,H,C,C,D,D,H,H,H,H,H,C,C,C,C,C,C,D,H,H,D,D,D,H,H,H,H,C,C,H,H,H,C,C,C,C,C,H,H,H,H,C,C,H,H,D,D,D,D,C,C,C,H,D,C,C,C,C
156,1,1,1.6237,1,2,4,1.24,0,4,0,0,276,1.968,183,H,H,H,H,H,D,H,H,H,H,D,D,D,D,D,D,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,D,D,D,D,D,D,D,-,C,H,H,H,-,H,H,H,H,D,H,H,H,C,H,H,H,H,H,H,H,H,D,H,H,H,C,C,C,H,H,H,H,H,D,D,D,H,H,H,D,D,H,H,H,-,H,C,C,C,C,H,H,C,C,H,D,H,-,C,C,D,D,D,D,C,C,C,C,C
157,1,1,1.5143,1,2,2,2.39,0,4,1,1,129,1.74,74,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,C,H,H,D,C,C,C,H,H,H,H,H,H,C,C,C,H,H,H,H,H,C,D,D,D,D,D,D,H,H,H,D,D,D,D,D,D,H,H,H,H,-,H,H,-,H,D,D,D,D,D,C,D,D,H,H,D,D,D,H,H,H,H,C,H,H,D,D,D,D,D,D,D,H,C,C,C,C,C,C,C,C
158,1,1,1.6101,0,0,0,0,0,0,0,0,218,1.778,159,C,C,D,D,H,H,D,D,D,D,H,C,C,C,H,H,H,H,H,D,D,D,D,D,D,D,D,D,D,H,H,H,H,D,D,D,D,D,D,D,H,H,H,D,D,H,H,C,C,H,H,H,D,D,D,D,D,D,D,H,H,H,C,H,H,D,D,D,D,C,H,H,H,H,D,D,H,H,H,H,D,H,H,C,C,C,H,H,C,C,C,C,D,H,C,C,H,H,C,H,D,D,D,D,C,C,C,C,C
159,1,1,1.7445,1,2,6,1.09,4,4,0,0,286,1.869,213,H,C,C,C,C,C,H,H,-,H,H,H,H,H,H,H,H,C,D,D,D,D,D,D,D,D,D,H,C,H,H,H,H,H,C,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,C,C,H,H,D,-,H,H,H,H,-,C,-,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,D,C,C,C,C,C,H,H,C,H,D,D,D,H,H,H,D,D,H,H,-,D,D,-,D,D,D,D,D,D
160,1,1,1.8561,1,2,0,0,2,0,4,0,196,1.898,117,C,C,C,C,C,-,D,D,D,D,D,D,D,D,D,D,D,D,H,H,C,D,D,D,H,H,C,H,H,H,H,H,H,H,H,H,H,D,D,D,H,H,H,D,D,D,D,D,D,D,H,H,H,H,H,D,D,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,D,H,C,C,C,H,H,H,D,C,C,H,H,D,D,D,D,D,D,D,D,D
161,1,1,1.5371,0,0,0,0,0,0,0,0,106,1.792,44,C,C,C,H,H,-,H,D,H,H,H,H,C,C,H,H,C,H,D,D,H,H,H,H,C,C,C,C,C,H,H,H,H,D,H,H,H,H,H,H,C,C,C,H,H,H,H,C,H,D,D,D,H,H,C,D,D,D,D,H,H,H,H,C,H,H,H,H,D,D,D,H,H,D,H,D,H,C,H,H,H,C,C,H,H,H,H,H,H,D,D,H,H,H,C,C,C,D,D,H,H,D,D,H,D,C,C,C,C
162,1,1,1.8037,0,0,0,0,0,0,0,0,251,2.182,99,H,C,C,C,C,C,H,H,H,H,C,C,C,C,C,C,D,C,H,H,C,C,C,C,C,H,-,H,D,D,H,D,D,D,D,D,D,D,D,D,C,C,-,C,C,H,H,H,H,H,H,H,H,H,H,C,C,H,H,H,H,H,D,H,H,H,H,D,-,H,H,D,D,H,H,H,H,H,H,D,D,D,D,C,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,C,C,C,D,D
163,1,1,1.9722,0,0,0,0,0,0,0,0,195,1.881,119,D,D,H,H,H,H,H,C,-,C,C,C,H,H,H,D,C,C,C,H,D,H,H,H,H,C,H,H,D,H,H,D,D,D,D,D,D,D,H,H,D,D,D,H,-,H,H,H,H,H,H,D,H,H,D,H,H,H,D,D,D,D,C,-,H,H,H,D,D,H,D,D,D,D,D,D,D,D,D,H,D,H,H,C,-,H,H,D,D,D,D,-,H,H,H,-,H,C,C,-,H,H,H,H,D,D,D,D,D
164,1,1,1.2989,0,1,0,0,0,0,1,0,154,1.881,78,H,H,H,H,H,C,D,D,D,D,H,C,C,C,C,D,H,H,H,H,D,D,D,C,C,C,C,C,H,H,C,D,H,H,H,H,H,H,H,H,H,H,H,H,-,D,-,H,H,C,C,C,C,C,H,D,D,D,D,D,D,D,D,D,C,C,C,C,H,H,H,D,D,H,H,H,H,H,C,C,C,D,D,H,C,C,C,C,C,H,H,-,H,D,D,H,D,H,H,H,H,H,H,H,D,C,C,C,C
165,1,1,1.278,-,-,-,-,-,-,-,-,216,1.778,157,H,D,D,D,H,H,H,D,-,D,D,D,D,D,D,D,H,H,C,C,D,D,D,D,D,D,D,H,C,D,D,C,C,C,C,C,C,C,C,C,H,D,D,H,H,H,H,C,C,C,H,H,H,H,H,-,H,C,C,C,C,C,-,D,D,D,D,D,H,H,C,C,C,C,C,C,C,C,C,D,H,H,H,C,H,H,H,H,H,H,C,D,H,H,H,C,H,C,C,-,H,H,-,D,D,D,D,D,D
166,1,1,1.4088,0,0,0,0,0,0,0,0,115,1.799,52,D,D,H,H,H,D,D,D,D,D,H,C,H,H,H,D,C,H,-,D,H,H,H,H,H,H,H,H,-,H,-,D,D,D,D,H,C,C,C,C,C,-,C,H,-,C,-,H,H,D,D,D,H,H,H,C,C,C,C,C,C,C,-,H,H,H,-,C,C,C,C,C,C,H,-,H,H,H,C,C,C,H,H,C,-,H,H,H,-,C,C,-,H,-,H,-,D,H,C,C,H,H,H,H,C,C,C,C,C
167,1,1,1.4407,0,0,0,0,0,0,0,0,185,1.633,142,C,C,C,H,H,-,-,H,H,H,H,H,C,-,C,C,H,C,-,H,-,-,-,-,H,H,-,H,-,C,-,H,H,H,H,H,H,D,D,D,C,C,-,-,-,D,H,H,H,H,H,D,D,H,-,H,-,C,C,C,H,-,-,-,-,D,D,D,D,-,D,D,D,C,-,C,H,H,D,H,-,-,H,-,-,H,C,-,-,H,H,-,-,-,-,-,C,C,C,H,D,D,-,D,C,C,C,C,C
168,1,1,1.5246,0,0,0,0,0,0,0,0,160,2,60,C,C,H,H,C,H,C,C,C,C,C,C,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,C,C,H,H,H,H,H,H,H,H,C,H,H,D,D,D,D,D,D,H,C,C,C,C,C,C,H,H,D,D,D,D,D,D,H,H,C,C,D,D,D,D,D,D,H,H,H,D,D,-,D,D,H,H,H,H,H,D,D,D,D,D,C,C,C,H,C,C,C,C,C,C,C,D
169,1,1,1.6072,1,2,3,0.29,2,2,0,0,208,2.029,101,C,C,C,H,H,H,D,H,H,H,H,H,C,C,C,C,C,H,-,H,H,H,H,H,H,D,H,D,D,H,C,C,H,H,H,H,H,H,H,H,C,C,C,C,H,D,D,H,H,D,D,D,D,D,D,-,H,H,H,H,H,H,-,H,H,H,H,H,-,H,H,H,H,H,H,H,D,D,D,H,C,C,C,C,-,C,C,H,D,D,D,D,C,C,H,H,H,H,H,D,C,C,H,H,C,C,C,C,C
170,1,1,1.0791,1,2,0,0,2,0,3,4,209,2.029,102,H,H,D,D,D,H,H,H,H,D,D,D,D,D,D,D,H,H,C,H,H,H,H,H,H,H,H,C,H,H,C,H,C,C,C,C,C,H,D,D,H,H,D,D,D,C,H,D,D,H,C,C,C,C,H,H,H,D,D,D,D,H,C,H,D,D,D,D,D,D,D,H,H,H,H,H,H,C,C,H,H,H,H,H,H,H,H,D,H,H,H,C,H,H,H,H,C,H,H,H,D,D,D,D,C,C,C,C,C
171,1,1,1.4627,0,0,0,0,0,0,0,0,104,1.74,49,C,H,H,H,D,D,H,H,H,H,H,H,H,H,H,C,H,D,D,H,H,H,H,H,H,D,D,H,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,D,C,C,H,H,D,D,D,D,D,D,H,H,D,H,H,H,H,D,D,D,D,D,D,C,H,C,C,C,H,D,D,D,D,H,H,D,D,H,H,H,D,D,H,C,C,C,C,H,H,H,H,H,H,H,H,D,H,H,C,C,C,C,D,D
172,1,1,1.5328,1,2,0,0,4,0,0,0,214,2.013,111,D,D,D,H,H,C,H,H,H,H,D,D,D,D,D,D,D,D,D,C,H,H,H,H,H,H,H,C,D,D,D,H,H,C,C,C,C,H,H,H,H,H,H,H,C,H,H,D,H,H,H,H,D,D,D,D,D,D,H,H,H,C,H,H,D,D,D,D,D,C,C,C,C,H,H,H,C,C,C,D,H,H,H,D,D,D,H,H,H,H,C,C,H,H,D,D,H,H,H,H,C,C,C,C,D,C,C,C,C
173,1,1,1.2405,0,1,0,0,0,0,2,1,280,1.857,208,C,C,C,C,-,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,C,C,C,C,C,C,C,H,H,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,H,C,C,C,C,C,C,C,H,C,C,C,C,H,H,H,H,C,C,H,H,H,H,H,H,H,H,H,H,D,D,-,D,H,H,H,H,C,-,D,-,H,D,D,D,D,C,C,C,C,D,D,D,D,D
174,1,1,1.1831,1,2,0,0,3,0,4,1,176,1.914,94,H,D,D,D,H,H,C,C,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,C,C,H,H,D,H,C,C,D,D,D,D,H,H,C,C,C,H,C,C,C,H,C,C,H,H,C,C,C,C,C,H,C,C,H,H,H,H,H,C,C,C,H,H,D,D,C,C,C,C,C,C,C,C,H,D,H,D,H,H,H,H,D,H,D,D,D,D,D,H,C,C,C,H,H,H,H,D,H,H,H,C,C,C,C,C
175,1,1,1.969,0,0,0,0,0,0,0,0,234,1.991,136,D,D,-,D,H,H,C,H,H,H,D,-,D,D,D,H,D,D,D,H,-,H,H,C,C,C,C,H,H,D,D,D,D,D,D,D,D,H,H,H,C,C,C,C,H,C,-,D,H,H,H,H,H,H,H,C,H,H,H,D,D,D,C,H,D,D,-,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,C,H,C,C,C,C,D,H,C,C,H,C,C,C,D,D,D,D,D
176,1,1,2.1669,1,2,0,0,2,0,3,1,234,1.991,136,H,C,C,H,D,H,H,D,D,D,D,D,D,D,D,D,D,H,H,H,D,D,D,D,D,H,H,D,D,C,C,C,C,C,C,C,C,C,H,H,H,H,C,C,-,H,D,D,H,C,H,H,H,H,D,H,H,C,C,H,H,H,D,C,C,C,C,C,C,H,H,H,H,C,C,C,C,C,H,H,H,H,H,H,H,H,C,D,D,H,H,-,H,H,-,D,H,H,H,D,C,H,H,H,D,D,D,D,D
177,1,1,2.0639,0,0,0,0,0,0,0,0,209,1.908,129,H,H,H,H,C,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,H,H,C,C,C,C,H,D,D,D,D,D,H,H,H,D,H,C,C,C,C,D,H,H,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,D,H,H,H,H,C,C,C,H,H,H,C,H,H,H,C,H,H,H,D,D,D,D,D,C,C,C,H,D,H,H,H,C,C,C,C,D,D,D,D,D
178,1,1,2.2892,1,2,0,0,1,0,3,4,196,1.851,125,H,D,H,C,C,H,C,H,H,H,D,D,D,H,H,H,D,H,H,H,H,C,C,C,H,H,D,D,H,H,-,H,H,C,H,H,H,H,H,H,C,C,C,H,C,D,H,H,H,C,H,H,H,H,H,C,C,C,H,C,C,C,-,H,H,H,H,C,C,H,H,C,C,H,H,H,H,C,C,H,H,D,H,C,C,C,D,H,-,C,C,C,H,H,H,-,H,C,C,C,H,H,H,H,D,D,D,D,D
179,1,1,2.0761,0,0,0,0,0,0,0,0,201,1.908,121,C,H,H,H,D,D,C,C,C,C,C,C,H,H,H,H,C,C,H,D,H,H,H,H,C,C,C,H,H,H,H,H,H,C,C,C,C,-,H,H,C,C,C,-,D,H,H,C,C,D,D,D,H,H,H,H,H,-,H,D,H,H,C,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,D,H,D,D,H,C,H,H,H,D,D,H,C,C,C,H,D,D,H,C,H,H,H,D,D,H,D,D,D,D,D
180,1,1,1.5478,1,2,0,0,1,0,3,2,267,2.029,160,D,H,H,H,H,H,D,D,D,D,D,D,D,D,D,D,C,C,H,H,D,D,H,H,H,H,-,H,H,D,D,H,D,D,D,D,D,H,H,H,D,D,-,D,H,H,H,H,H,C,C,C,C,C,C,D,D,D,D,H,C,C,C,C,C,C,C,C,C,H,H,H,H,C,C,C,C,H,H,C,C,C,H,C,C,H,H,H,H,H,H,H,H,H,C,C,H,H,D,D,H,H,H,H,D,D,D,C,C
181,1,1,2.91,1,2,0,0,4,0,4,0,226,1.954,136,C,C,C,C,H,H,D,D,D,D,D,D,D,D,H,H,C,C,C,H,C,H,H,H,C,C,H,H,C,C,C,H,C,C,C,C,C,C,-,C,D,H,H,C,C,D,D,D,H,H,H,H,D,D,D,D,D,D,D,H,H,H,H,H,H,C,C,H,H,H,H,H,H,C,C,C,C,H,H,C,H,H,H,H,H,H,H,D,D,H,H,H,H,H,H,H,C,-,C,H,H,C,C,C,C,-,C,C,D
182,1,1,1.8172,0,0,0,0,0,0,0,0,236,2.1,110,C,C,H,D,D,D,C,C,C,C,C,C,C,C,C,D,D,H,H,H,C,C,C,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,C,C,H,H,C,C,H,H,H,D,C,H,H,D,H,D,D,H,H,C,C,C,C,D,D,D,D,H,H,H,C,H,H,H,H,C,C,C,C,D
183,1,1,1.0258,1,2,0,0,4,0,4,0,266,2.072,148,D,H,H,H,H,H,H,C,C,C,H,H,H,-,D,D,D,D,D,D,H,H,H,H,H,H,D,C,C,H,D,H,H,H,H,H,H,H,D,D,D,D,D,D,D,H,C,C,C,D,H,H,H,H,H,H,H,H,D,D,H,H,H,H,C,C,C,C,C,D,D,D,D,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,D,D,D,H,H,D,H,C,C,C,C,H,H,H,H,C,C,C,C,C
184,1,1,1.902,0,0,0,0,0,0,0,0,432,2.104,305,H,H,H,H,H,H,D,D,D,D,D,D,D,D,D,H,D,D,D,D,C,H,H,H,H,D,H,H,D,H,C,H,H,H,D,-,D,H,H,H,H,C,C,C,H,D,H,H,H,C,H,H,H,H,H,D,D,D,H,H,-,H,C,H,-,H,H,C,C,C,C,D,H,H,H,H,H,H,D,C,C,H,D,D,D,H,H,H,D,D,D,D,H,H,-,D,H,H,C,C,C,H,H,H,D,D,D,D,C
185,1,1,1.2855,0,0,0,0,0,0,0,0,323,1.799,260,H,H,H,H,H,H,H,H,H,H,C,C,C,-,C,C,C,H,H,H,H,D,D,D,H,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,C,C,C,C,C,H,H,H,C,C,C,C,C,-,C,H,H,-,H,H,C,C,C,H,H,H,H,H,C,C,C,C,H,H,H,H,D,D,H,H,H,D,D,D,D,C,C,-,C,H,H,H,H,H,H,H,C,D,D,D,D,-
186,1,1,2.3003,0,0,0,0,0,0,0,0,208,2.017,104,H,H,H,H,D,D,C,C,H,H,H,H,D,D,D,D,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,C,H,H,H,H,D,D,D,H,H,H,D,H,H,D,D,D,H,H,H,H,H,C,C,H,H,D,D,D,D,D,D,D,D,D,D,D,H,H,D,H,H,C,C,C,H,H,D,D,D,D,D,H,C,C,H,C,H,H,H,H,C,C,C,C,C,H,H,C,C,H,H,H,D,D,D,D,D
187,1,1,1.6747,1,2,1,0.03,0,2,0,1,298,1.74,243,H,H,D,D,D,C,H,H,H,H,H,H,H,H,H,H,H,D,D,D,-,D,H,H,H,H,-,D,H,D,H,D,D,D,-,D,D,D,D,D,H,H,-,H,H,H,H,D,D,C,H,H,H,D,H,-,C,C,C,C,C,C,-,C,H,H,H,H,D,H,H,D,D,C,C,H,H,H,H,C,H,D,D,C,C,C,H,H,H,H,H,H,C,C,C,H,H,H,D,H,H,H,H,D,D,D,D,D,C
188,1,1,1.691,1,2,0,0,4,0,3,1,157,1.908,77,D,C,C,C,C,C,D,D,D,D,D,D,C,C,C,C,D,D,D,D,H,H,H,H,H,H,H,D,H,H,C,H,H,H,H,H,H,H,-,C,H,H,H,H,-,H,H,H,C,D,H,H,H,H,H,H,C,C,C,C,C,C,D,H,H,H,H,C,C,H,H,H,H,C,C,H,D,D,H,C,H,H,H,C,C,H,H,D,H,H,H,-,H,D,D,H,H,-,H,H,H,D,D,D,D,D,D,C,C
189,1,1,1.3523,0,0,0,0,0,0,0,0,591,1.663,546,H,H,D,D,H,H,C,C,C,C,H,H,H,H,H,C,D,D,D,D,H,H,H,C,C,C,C,H,D,H,D,H,H,H,H,H,H,H,C,C,D,D,H,H,C,H,C,H,H,C,C,C,C,C,H,C,C,-,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,C,C,C,C,H,H,H,H,H,C,H,C,C,H,H,H,D,D,-,D,D,D,D,H,D,D,D,D,D,H,H,C,C,C,C,D
190,1,1,1.2669,0,0,0,0,0,0,0,0,141,1.869,68,H,C,C,C,C,H,C,C,C,C,C,C,C,C,H,H,C,C,H,D,-,C,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,D,H,C,C,H,H,H,D,D,-,D,-,D,H,H,H,H,H,D,D,D,D,D,H,D,D,D,D,D,D,H,H,H,H,H,D,D,D,-,H,H,D,C,D,D,D,D,H,-,H,H,D,D,D,H,C,C,C,C,C,C,D,D,D
191,1,1,1.4722,0,0,0,0,0,0,0,0,151,1.881,75,D,C,C,C,C,C,D,D,D,D,D,H,D,D,D,D,-,D,D,-,H,D,D,H,H,H,C,D,D,D,H,H,H,H,H,H,H,H,C,C,H,C,C,-,H,D,D,H,H,C,C,H,H,H,D,C,C,H,H,H,H,H,H,C,H,H,H,H,H,H,C,C,H,C,C,C,C,C,C,C,H,H,H,C,C,H,H,D,H,H,H,C,C,C,C,C,D,D,D,H,D,H,H,H,C,C,C,C,C
192,1,1,2.1889,0,1,0,0,0,0,1,1,240,2.137,104,D,H,H,-,-,C,D,D,D,D,D,D,D,D,D,-,C,C,C,H,C,C,C,C,C,H,D,C,C,H,H,H,H,H,H,H,D,D,H,-,H,H,H,C,H,H,C,C,C,H,-,-,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,D,C,C,C,C,H,H,C,C,C,H,H,H,D,D,H,H,H,C,H,H,H,H,H,D,-,D,D,H,H,H,H,H,H,H,H,-,D,D,D,D
193,1,1,2.3565,0,0,0,0,0,0,0,0,165,1.881,89,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,D,H,H,C,C,H,D,D,H,H,H,H,C,C,C,D,C,C,C,C,C,C,C,C,C,H,H,H,H,D,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,-,D,D,H,H,H,H,H,H,H,H,D,D,-,H,H,H,D,D,D,H,H,H,D,D,D,H,H,C,C,H,H,D,D,H,H,H,H,C,D,D,D,D
194,1,1,1.3064,0,0,0,0,0,0,0,0,165,1.914,83,D,D,D,H,H,H,H,H,H,H,H,H,H,H,C,H,D,D,D,D,D,H,H,H,H,C,-,H,H,H,H,D,D,D,D,D,D,D,D,D,D,D,-,D,H,H,H,D,D,D,D,D,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,C,C,C,C,C,H,H,C,H,H,D,D,D,D,H,D,D,D,D,H,H,D,H,D,D,D,D,D,D,D,H,D,D,D,D,C
195,1,1,1.3091,0,1,0,0,0,0,1,0,111,1.724,59,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,D,D,H,H,H,H,H,H,H,H,-,H,H,H,C,H,H,C,C,C,C,H,H,H,C,C,-,C,D,D,D,H,H,D,D,D,H,H,H,C,C,C,D,D,D,D,H,H,D,D,D,D,D,D,D,D,D,H,H,H,H,H,H,H,D,D,D,H,H,H,H,H,H,H,D,H,H,H,D,D,H,H,H,H,H,D,D,H,D,D,D,C,C
196,1,1,1.0893,-,-,-,-,-,-,-,-,327,2.121,195,D,H,H,H,C,C,D,D,D,D,D,D,D,D,D,D,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,D,-,D,D,H,H,H,H,H,D,H,H,H,C,C,C,C,C,H,H,H,C,C,H,H,H,H,C,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,D,D,H,H,D,D,D,H,H,H,D,D,D,D,D
197,1,1,1.2884,1,2,0,0,4,1,4,1,255,2.041,145,D,D,D,D,C,C,D,D,D,D,D,D,D,D,D,H,C,C,H,H,C,C,H,H,H,H,C,H,H,H,C,H,H,H,H,H,H,H,D,D,H,H,H,D,H,C,H,H,H,H,-,H,H,H,H,D,D,D,D,D,D,D,C,H,H,H,H,H,H,H,H,H,D,C,C,C,H,H,H,H,H,D,D,D,C,C,C,D,D,D,H,H,H,H,H,C,C,C,H,H,C,H,H,H,D,D,D,D,D
198,1,1,1.6532,0,1,0,0,0,0,1,1,366,1.996,267,H,D,D,H,H,H,C,H,H,H,H,H,C,C,C,D,D,D,H,H,C,C,H,H,H,H,H,H,H,H,H,D,H,H,C,C,C,C,C,C,H,H,C,H,H,C,H,H,C,C,C,C,C,D,D,C,C,C,C,H,H,H,H,H,D,D,D,D,H,C,C,D,D,C,C,H,H,H,D,H,H,H,H,C,C,C,C,D,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,D,D,C,C,C
